Year,Quarter,Inflation,Unemployment     ,Undemp_Adj,Job_Misery,Misery
2015,Q3,-0.062247121,6.498651583,19.61767022,26.11632181,26.05407469
2015,Q4,0.280461203,5.625682153,16.65638495,22.2820671,22.5625283
2016,Q1,0.592823713,5.689769073,18.48456426,24.17433334,24.76715705
2016,Q2,0.966334165,6.064491058,17.16519338,23.22968444,24.19601861
2016,Q3,1.432575522,5.387931308,16.48205617,21.86998748,23.302563
2016,Q4,2.019888129,4.664644712,17.17592475,21.84056946,23.86045759
2017,Q1,2.884615385,6.557767801,15.19345068,21.75121848,24.63583387
2017,Q2,2.840382834,5.718837072,15.14378881,20.86262588,23.70300872
2017,Q3,2.671169788,5.578455728,15.37467317,20.9531289,23.62429869
2017,Q4,3.015534572,5.003030335,15.12869944,20.13172977,23.14726434
2018,Q1,3.858908652,5.264028059,17.01115621,22.27518427,26.13409293
